Material/Veh/Equip,Amount in LC,Quantity
4000004310,14127.0,22.0
4000004495,7359.2,80.0
4000004642,2950.0,1.0
4000004671,27111.050000000003,4.0
4000004773,22206.0,1.0
4000004779,7572.4400000000005,3.0
4000004860,1045.5,1.0
4000004875,7005.41,11.0
4000004906,464.57,4.0
4000004916,1135.0,2.0
4000005220,13800.6,41.0
4000005221,428.4,42.0
4000005227,174.0,1.0
4000005229,16335.019999999999,44.0
4000005298,3701.62,26.0
4000005299,15875.4,116.0
4000005301,10751.490000000002,22.0
4000005303,31309.85,10.0
4000005338,9404.96,7.0
4000005347,216773.61000000002,30.0
4000005351,111300.0,2.0
4000005352,120300.0,2.0
4000005356,236696.46,1603.0
4000005357,2314881.28,1176.0
4000005358,686066.92,102.0
4000005366,513745.38,31.0
4000005367,683787.49,39.0
4000005368,25000.0,1.0
4000005372,138454.28,24.0
4000005375,460519.66000000003,101.0
4000005378,16888.6,118.0
4000005388,13819.0,1.0
4000005390,28926.0,3.0
4000005391,7548.69,1.0
4000005398,45332.0,392.0
4000005476,10018.34,31.0
4000005487,50700.0,5.0
4000005495,25415.510000000002,2.0
4000005504,79330.86,2.0
4000005521,14988.0,26.0
4000005522,37001.64,175.0
4000005524,605.1,10.0
4000005530,271852.0,49.0
4000005531,414874.11999999994,163.0
4000005532,66200.0,5.0
4000005538,325709.74,21.0
4000005546,126729.0,3.0
4000005582,94250.0,3.0
4000005584,828448.96,28.0
4000005585,1356673.75,20.0
4000005588,170000.0,4.0
4000005592,95650.0,1.0
4000005622,23760.0,15.0
4000005648,67368.0,12.0
4000005685,350.0,50.0
4000005719,13034.0,4.0
4000005725,764435.39,18.0
4000005726,878962.0,11.0
4000005727,28328.0,4.0
4000005728,780.0,12.0
4000005729,237.81,1.0
4000005741,3768.0,8.0
4000005759,982.0,1.0
4000005761,23606.66,6.0
4000005767,200699.25,52.0
4000005768,405270.83,40.0
4000005770,22305.0,9.0
4000005779,51841.82,6.0
4000005782,20487.86,3.0
4000005786,21500.0,1.0
4000005798,70000.0,1.0
4000005802,135700.0,1.0
4000005813,1210.0,11.0
4000005826,67647.26,904.0
4000005827,208665.07,2130.0
4000005829,22768.71,2055.0
4000005830,401950.0,90.0
4000005834,72628.0,4.0
4000005838,30921.3,1.0
4000005840,77700.0,5.0
4000005842,22273.0,6.0
4000005844,165450.0,6.0
4000005855,385000.0,7.0
4000005856,426388.33,7.0
4000005857,4578.75,125.0
4000005858,368.1,10.0
4000005859,350.0,50.0
4000005867,18740.94,2.0
4000005884,64450.0,7.0
4000005893,176.02,1.0
4000005896,76048.91,428.0
4000005897,1954.2799999999997,3.0
4000005898,34028.57,190.0
4000005905,37652.08,15.0
4000005906,194616.0,135.0
4000005907,232330.0,157.0
4000005908,430100.0,323.0
4000005909,59498.71000000001,24.0
4000005910,252700.0,35.0
4000005911,72792.01999999999,57.0
4000005918,352.58,2.0
4000005919,499675.73,85.0
4000005922,19998.0,11.0
4000005925,1228.8200000000002,21.0
4000005926,91.94,2.0
4000005928,17767.61,1.0
4000005930,7282.02,1.0
4000005944,61000.0,2.0
4000005951,62454.0,6.0
4000005953,10760.05,1.0
4000005978,111300.0,6.0
4000005993,38440.0,4.0
4000006079,3681.45,26.0
4000006082,24998.4,21.0
4000006085,32338.0,23.0
4000006086,49703.36,16.0
4000006090,16113.0,1.0
4000006113,454952.88,10.0
4000006114,455002.88,10.0
4000006122,309759.33,31.0
4000006124,888.25,1.0
4000006132,24348.0,3.0
4000006133,17036.0,2.0
4000006139,1944.6200000000001,21.0
4000006141,38000.0,1.0
4000006142,12550.0,5.0
4000006143,9387.16,6.0
4000006144,191604.0,13.0
4000006145,58800.0,9.0
4000006147,64850.0,9.0
4000006148,2723.6,30.0
4000006149,316.18,1.0
4000006150,64400.0,6.0
4000006153,27450.0,4.0
4000006154,9712.32,1.0
4000006611,5021.09,13.0
4000006682,7482.5,6.0
4000006699,36632.28,36.0
4000006700,17238.14,21.0
4000006974,39900.0,6.0
4000007019,3325.0,1.0
4000007031,10600.0,1.0
4000007048,6064.66,5.0
4000008065,92.1,30.0
4000008257,902.5,1.0
4000008743,483.0,300.0
4000008744,580.0,200.0
4000008745,1235.0,400.0
4000008747,1236.83,133.0
4000008814,3586.8900000000003,4.0
4000010539,1085.96,64.0
4000010540,8699.87,190.0
4000010546,570.0,25.0
4000010551,1384.37,29.0
4000010562,475833.0,51.0
4000010571,745.76,50.0
4000010591,11908.0,1.0
4000010647,5159.88,22.0
4000010685,76.81,2.0
4000010857,450.0,5.0
4000011128,105.0,1.0
4000013630,855.0,1.0
4000013633,4334.8,10.0
4000013858,4555.38,3.0
4000013861,4818.96,1.0
4000013880,6516.78,1.0
4000014345,15300.0,4.0
4000014708,2216.46,1.0
4000015712,86.0,2.0
4000016547,53.64,1.0
4000036611,5488.05,9.0
4000040631,52868.0,10.0
4000043969,2288.08,1.0
4000043995,955.3,5.0
4000043999,20132.0,3.0
4000044003,1191.36,1.0
4000044009,890.88,2.0
4000044011,61140.46,13.0
4000044013,2905.98,37.0
4000044062,2791.07,1.0
4000044065,7250.0,5.0
4000044091,40314.0,12.0
4000044092,141828.0,9.0
4000044166,72666.67,2.0
4000044172,3107.01,1.0
4000044175,9314.64,1.0
4000044183,8922.66,1.0
4000044191,437.3,10.0
4000044192,165.33,5.0
4000044228,5495.46,9.0
4000044233,91566.0,8.0
4000044250,99887.51,840.0
4000044337,210450.0,8.0
4000044348,9341.0,1.0
4000044350,144000.0,1.0
4000045362,52883.1,6.0
4000045366,20800.0,2.0
4000045375,3427.41,21.0
4000045388,27359.0,1.0
4000046105,17918.01,52.0
4000046112,585.0,13.0
4000046696,32591.04,1.0
4000048226,205808.33000000002,11.0
4000048227,4375.0,5.0
4000048247,4505.28,24.0
4000048264,2954.68,2.0
4000048653,590.0,10.0
4000048980,4542.0,1.0
4000052443,420400.0,3.0
4000053236,58000.0,1.0
4000055754,7848.0,1.0
4000055758,225.72,1.0
4000055967,6639.18,2.0
4000056231,4917.24,6.0
4000056233,687.3,5.0
4000057685,98052.95,2.0
4000057979,2265.3,9.0
4000058633,26108.0,2.0
4000058639,11856.68,4.0
4000058642,11718.0,1.0
4000058766,138000.0,6.0
4000059014,53322.5,6.0
4000059702,3048.0,1.0
4000060328,17706.0,9.0
4000060365,12020.2,1.0
4000060384,8628.0,3.0
4000061017,257325.23,96.0
4000061093,197104.48,42.0
4000061094,28770.0,2.0
4000062504,12495.0,7.0
4000063625,37500.0,1.0
4000063936,450.0,5.0
4000065545,72.0,4.0
4000065909,34926.84,2.0
4000066604,7730.0,2.0
4000068104,920.0,10.0
4000069180,115500.0,3.0
4000070661,165.0,1.0
4000070722,26402.09,1.0
4000071120,581.4,1.0
4000071869,12189.85,50.0
4000073069,25894.0,8.0
4000073131,8165.0,6.0
4000073616,2135.88,1.0
4000075428,12074.76,1.0
4000076536,370.56,2.0
4000077033,3042.73,1.0
4000077863,1095.48,2.0
4000078124,2000.0,40.0
4000080177,1208.7,5.0
4000080184,332.0,1.0
4000080185,2318.0,1.0
4000082490,282200.0,4.0
4000083469,222.0,1.0
4000083834,336880.5,1.0
4000083836,73137.19,990.0
4000084140,54.0,1.0
4000084142,920.0,10.0
4000084326,44400.0,2.0
4000084388,2609.68,33.0
4000084389,837.2,8.0
4000084390,11345.99,65.0
4000084395,59.11,1.0
4000084398,57.44,1.0
4000084399,215.73,4.0
4000084402,877.63,14.0
4000084403,5883.77,92.0
4000084405,162.29,2.0
4000084411,363.46000000000004,3.0
4000084412,8063.95,73.0
4000084414,8246.19,37.0
4000084415,7223.91,21.0
4000084416,5715.469999999999,13.0
4000084419,217.03,2.0
4000084429,10181.06,225.0
4000084430,10000.05,179.0
4000084431,14170.77,256.0
4000084432,992.12,17.0
4000084433,10656.119999999999,154.0
4000084435,2794.59,15.0
4000084436,3744.2299999999996,8.0
4000084437,9145.42,13.0
4000084439,847.97,10.0
4000084446,3302.8199999999997,10.0
4000084447,334.53,1.0
4000084450,159722.09,303.0
4000084451,34928.66,40.23
4000084452,53174.810000000005,51.0
4000084453,33256.08,78.0
4000084459,3305.75,19.0
4000084460,3009.44,14.0
4000084467,47.86,1.0
4000084688,62500.0,1.0
4000084878,2928.51,39.0
4000084884,3511.5,25.0
4000084894,290.67,4.0
4000084897,3200.8,40.0
4000084900,365.37,3.0
4000084911,3750.35,13.0
4000084912,82.15,2.0
4000084913,3080.07,63.0
4000084914,3465.51,71.0
4000084921,2893.32,47.0
4000084922,3016.44,49.0
4000084926,4174.84,59.0
4000084931,93.16,1.0
4000084943,254.56,4.0
4000084944,149.22,2.0
4000084949,399.22,4.0
4000084952,3545.46,49.0
4000084953,9182.79,126.0
4000084955,3184.44,42.0
