Document Date,Order,Material/Veh/Equip,Material Description,Batch,Quantity,Amount in LC
7/30/2024,IEXVL274279,4000004233,OIL FILTER 6002111231,,-1.0,"-1,601.15"
7/30/2024,IEXVL274279,4000004251,BEARING 6200,,-15.0,"-1,723.65"
7/30/2024,IEXVL274279,4000004274,SEAL 7051703810,,-2.0,"-2,184.84"
5/31/2024,IEXVL274283,4000004305,BEARING (NU1016C3) 603201016,,-1.0,"-13,908.71"
02-11-2024,IEXVL274471,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
02-11-2024,IEXVL274478,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
02-11-2024,IEXVL274472,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
02-11-2024,IEXVL274768,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
02-11-2024,IEXVL274856,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
02-10-2024,IEXVL274752,4000004310,BEARING  (B17-99D) B1799D,,-3.0,"-1,875.00"
12/21/2023,IEXVL274767,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-675
12/21/2023,IEXVL274477,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-675
12/21/2023,IEXVL274831,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-675
12/21/2023,IEXVL274287,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-675
12/21/2023,IEXVL274518,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-675
06-04-2023,IEXVL274518,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-203
06-04-2023,IEXVL274517,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-203
06-04-2023,IEXVL273559,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-203
06-04-2023,IEXVL273554,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-203
06-04-2023,IEXVL273551,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-203
4/19/2023,IEXVL274518,4000004310,BEARING  (B17-99D) B1799D,,1.0,625
4/19/2023,IEXVL274287,4000004310,BEARING  (B17-99D) B1799D,,1.0,625
4/19/2023,IEXVL272121,4000004310,BEARING  (B17-99D) B1799D,,1.0,625
4/19/2023,IEXVL272121,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
4/19/2023,IEXVL274518,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
4/19/2023,IEXVL274287,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
3/31/2023,IEXVL273559,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-688.5
3/31/2023,IEXVL274287,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-688.5
3/19/2023,IEXVL273551,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
3/19/2023,IEXVL273554,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
3/19/2023,IEXVL274287,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
3/19/2023,IEXVL273559,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
3/19/2023,IEXVL274283,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
2/15/2023,IEXVL273556,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
2/15/2023,IEXVL274830,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
2/15/2023,IEXVL274279,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
2/15/2023,IEXVL273559,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
12/17/2022,IEXVL274856,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
12/17/2022,IEXVL274831,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
12/17/2022,IEXVL273612,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
12/17/2022,IEXVL273556,4000004310,BEARING  (B17-99D) B1799D,,-1.0,-625
11/13/2022,IEXVL274767,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
11/13/2022,IEXVL274752,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
11/13/2022,IEXVL274518,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
11/13/2022,IEXVL273563,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
8/25/2022,IEXVL274856,4000004310,BEARING  (B17-99D) B1799D,NSK,-1.0,-625
